group_size,arrival_time,dining_duration,is_vip
4,2024-06-01 00:00:00,41,0
4,2024-06-01 00:00:00,44,1
4,2024-06-01 00:00:00,34,0
5,2024-06-01 00:02:00,33,0
3,2024-06-01 00:04:00,53,0
3,2024-06-01 00:05:00,25,0
2,2024-06-01 00:05:00,49,0
2,2024-06-01 00:05:00,41,0
2,2024-06-01 00:06:00,22,0
6,2024-06-01 00:07:00,59,1
1,2024-06-01 00:07:00,28,0
3,2024-06-01 00:08:00,56,0
3,2024-06-01 00:08:00,34,0
2,2024-06-01 00:10:00,28,1
1,2024-06-01 00:10:00,22,0
1,2024-06-01 00:10:00,31,0
3,2024-06-01 00:11:00,26,0
1,2024-06-01 00:12:00,24,1
2,2024-06-01 00:12:00,48,0
3,2024-06-01 00:13:00,55,0
3,2024-06-01 00:14:00,43,0
4,2024-06-01 00:14:00,47,0
3,2024-06-01 00:14:00,30,1
5,2024-06-01 00:15:00,35,0
4,2024-06-01 00:16:00,51,1
2,2024-06-01 00:16:00,31,0
3,2024-06-01 00:17:00,43,0
1,2024-06-01 00:17:00,47,0
3,2024-06-01 00:17:00,38,0
3,2024-06-01 00:19:00,38,0
2,2024-06-01 00:21:00,50,0
2,2024-06-01 00:21:00,44,0
3,2024-06-01 00:21:00,23,0
3,2024-06-01 00:22:00,32,0
2,2024-06-01 00:22:00,38,0
3,2024-06-01 00:22:00,58,0
2,2024-06-01 00:22:00,39,0
3,2024-06-01 00:23:00,46,1
1,2024-06-01 00:24:00,60,0
2,2024-06-01 00:24:00,59,0
5,2024-06-01 00:25:00,29,0
3,2024-06-01 00:25:00,53,0
2,2024-06-01 00:25:00,32,0
5,2024-06-01 00:26:00,54,0
2,2024-06-01 00:27:00,31,0
3,2024-06-01 00:27:00,26,0
2,2024-06-01 00:28:00,40,0
3,2024-06-01 00:28:00,52,1
1,2024-06-01 00:29:00,53,0
3,2024-06-01 00:29:00,31,0
2,2024-06-01 00:30:00,32,1
1,2024-06-01 00:30:00,47,0
1,2024-06-01 00:30:00,31,0
3,2024-06-01 00:30:00,32,0
4,2024-06-01 00:31:00,22,0
2,2024-06-01 00:34:00,26,0
4,2024-06-01 00:34:00,26,0
4,2024-06-01 00:34:00,23,0
5,2024-06-01 00:34:00,59,0
4,2024-06-01 00:34:00,29,0
4,2024-06-01 00:35:00,22,0
2,2024-06-01 00:36:00,43,0
5,2024-06-01 00:37:00,30,1
3,2024-06-01 00:38:00,35,1
2,2024-06-01 00:39:00,41,0
2,2024-06-01 00:39:00,32,0
2,2024-06-01 00:41:00,27,0
3,2024-06-01 00:41:00,27,0
5,2024-06-01 00:42:00,24,0
2,2024-06-01 00:42:00,44,0
2,2024-06-01 00:45:00,55,1
3,2024-06-01 00:45:00,24,0
2,2024-06-01 00:45:00,24,0
3,2024-06-01 00:45:00,40,0
4,2024-06-01 00:46:00,54,0
3,2024-06-01 00:46:00,24,0
3,2024-06-01 00:47:00,48,0
6,2024-06-01 00:48:00,32,0
1,2024-06-01 00:48:00,43,0
6,2024-06-01 00:49:00,36,0
2,2024-06-01 00:50:00,32,1
2,2024-06-01 00:51:00,40,0
3,2024-06-01 00:51:00,55,0
1,2024-06-01 00:51:00,26,0
3,2024-06-01 00:53:00,36,0
3,2024-06-01 00:54:00,32,0
3,2024-06-01 00:54:00,45,0
4,2024-06-01 00:54:00,26,0
5,2024-06-01 00:56:00,50,0
2,2024-06-01 00:56:00,38,0
2,2024-06-01 00:57:00,23,0
1,2024-06-01 00:57:00,51,0
3,2024-06-01 00:58:00,46,0
1,2024-06-01 00:59:00,42,0
5,2024-06-01 00:59:00,45,0
2,2024-06-01 00:59:00,43,0
3,2024-06-01 00:59:00,46,0
5,2024-06-01 01:00:00,21,1
5,2024-06-01 01:00:00,23,1
3,2024-06-01 01:00:00,48,0
