uid,group_size,arrival_time,dining_duration,table_type,is_vip
R001,4,2024-06-01 00:00:00,41,B,0
R002,4,2024-06-01 00:00:00,44,B,1
R003,4,2024-06-01 00:00:00,34,B,0
R004,5,2024-06-01 00:02:00,33,C,0
R005,3,2024-06-01 00:04:00,53,B,0
R006,3,2024-06-01 00:05:00,25,B,0
R007,2,2024-06-01 00:05:00,49,A,0
R008,2,2024-06-01 00:05:00,41,A,0
R009,2,2024-06-01 00:06:00,22,A,0
R010,6,2024-06-01 00:07:00,59,C,1
R011,1,2024-06-01 00:07:00,28,A,0
R012,3,2024-06-01 00:08:00,56,B,0
R013,3,2024-06-01 00:08:00,34,B,0
R014,2,2024-06-01 00:10:00,28,A,1
R015,1,2024-06-01 00:10:00,22,A,0
R016,1,2024-06-01 00:10:00,31,A,0
R017,3,2024-06-01 00:11:00,26,B,0
R018,1,2024-06-01 00:12:00,24,A,1
R019,2,2024-06-01 00:12:00,48,A,0
R020,3,2024-06-01 00:13:00,55,B,0
R021,3,2024-06-01 00:14:00,43,B,0
R022,4,2024-06-01 00:14:00,47,B,0
R023,3,2024-06-01 00:14:00,30,B,1
R024,5,2024-06-01 00:15:00,35,C,0
R025,4,2024-06-01 00:16:00,51,B,1
R026,2,2024-06-01 00:16:00,31,A,0
R027,3,2024-06-01 00:17:00,43,B,0
R028,1,2024-06-01 00:17:00,47,A,0
R029,3,2024-06-01 00:17:00,38,B,0
R030,3,2024-06-01 00:19:00,38,B,0
R031,2,2024-06-01 00:21:00,50,A,0
R032,2,2024-06-01 00:21:00,44,A,0
R033,3,2024-06-01 00:21:00,23,B,0
R034,3,2024-06-01 00:22:00,32,B,0
R035,2,2024-06-01 00:22:00,38,A,0
R036,3,2024-06-01 00:22:00,58,B,0
R037,2,2024-06-01 00:22:00,39,A,0
R038,3,2024-06-01 00:23:00,46,B,1
R039,1,2024-06-01 00:24:00,60,A,0
R040,2,2024-06-01 00:24:00,59,A,0
R041,5,2024-06-01 00:25:00,29,C,0
R042,3,2024-06-01 00:25:00,53,B,0
R043,2,2024-06-01 00:25:00,32,A,0
R044,5,2024-06-01 00:26:00,54,C,0
R045,2,2024-06-01 00:27:00,31,A,0
R046,3,2024-06-01 00:27:00,26,B,0
R047,2,2024-06-01 00:28:00,40,A,0
R048,3,2024-06-01 00:28:00,52,B,1
R049,1,2024-06-01 00:29:00,53,A,0
R050,3,2024-06-01 00:29:00,31,B,0
R051,2,2024-06-01 00:30:00,32,A,1
R052,1,2024-06-01 00:30:00,47,A,0
R053,1,2024-06-01 00:30:00,31,A,0
R054,3,2024-06-01 00:30:00,32,B,0
R055,4,2024-06-01 00:31:00,22,B,0
R056,2,2024-06-01 00:34:00,26,A,0
R057,4,2024-06-01 00:34:00,26,B,0
R058,4,2024-06-01 00:34:00,23,B,0
R059,5,2024-06-01 00:34:00,59,C,0
R060,4,2024-06-01 00:34:00,29,B,0
R061,4,2024-06-01 00:35:00,22,B,0
R062,2,2024-06-01 00:36:00,43,A,0
R063,5,2024-06-01 00:37:00,30,C,1
R064,3,2024-06-01 00:38:00,35,B,1
R065,2,2024-06-01 00:39:00,41,A,0
R066,2,2024-06-01 00:39:00,32,A,0
R067,2,2024-06-01 00:41:00,27,A,0
R068,3,2024-06-01 00:41:00,27,B,0
R069,5,2024-06-01 00:42:00,24,C,0
R070,2,2024-06-01 00:42:00,44,A,0
R071,2,2024-06-01 00:45:00,55,A,1
R072,3,2024-06-01 00:45:00,24,B,0
R073,2,2024-06-01 00:45:00,24,A,0
R074,3,2024-06-01 00:45:00,40,B,0
R075,4,2024-06-01 00:46:00,54,B,0
R076,3,2024-06-01 00:46:00,24,B,0
R077,3,2024-06-01 00:47:00,48,B,0
R078,6,2024-06-01 00:48:00,32,C,0
R079,1,2024-06-01 00:48:00,43,A,0
R080,6,2024-06-01 00:49:00,36,C,0
R081,2,2024-06-01 00:50:00,32,A,1
R082,2,2024-06-01 00:51:00,40,A,0
R083,3,2024-06-01 00:51:00,55,B,0
R084,1,2024-06-01 00:51:00,26,A,0
R085,3,2024-06-01 00:53:00,36,B,0
R086,3,2024-06-01 00:54:00,32,B,0
R087,3,2024-06-01 00:54:00,45,B,0
R088,4,2024-06-01 00:54:00,26,B,0
R089,5,2024-06-01 00:56:00,50,C,0
R090,2,2024-06-01 00:56:00,38,A,0
R091,2,2024-06-01 00:57:00,23,A,0
R092,1,2024-06-01 00:57:00,51,A,0
R093,3,2024-06-01 00:58:00,46,B,0
R094,1,2024-06-01 00:59:00,42,A,0
R095,5,2024-06-01 00:59:00,45,C,0
R096,2,2024-06-01 00:59:00,43,A,0
R097,3,2024-06-01 00:59:00,46,B,0
R098,5,2024-06-01 01:00:00,21,C,1
R099,5,2024-06-01 01:00:00,23,C,1
R100,3,2024-06-01 01:00:00,48,B,0
