uid,group_size,arrival_time,dining_duration,table_type,is_vip
R001,3,2024-06-01 00:00:00,24,B,1
R002,4,2024-06-01 00:01:00,48,B,0
R003,6,2024-06-01 00:02:00,24,C,0
R004,5,2024-06-01 00:03:00,37,C,0
R005,5,2024-06-01 00:05:00,47,C,0
R006,3,2024-06-01 00:05:00,20,B,0
R007,1,2024-06-01 00:05:00,53,A,0
R008,3,2024-06-01 00:07:00,53,B,0
R009,6,2024-06-01 00:08:00,49,C,0
R010,3,2024-06-01 00:08:00,25,B,0
R011,6,2024-06-01 00:09:00,38,C,0
R012,2,2024-06-01 00:09:00,21,A,0
R013,2,2024-06-01 00:12:00,30,A,0
R014,2,2024-06-01 00:13:00,33,A,0
R015,2,2024-06-01 00:13:00,60,A,0
R016,5,2024-06-01 00:13:00,26,C,0
R017,4,2024-06-01 00:16:00,30,B,0
R018,2,2024-06-01 00:16:00,56,A,0
R019,6,2024-06-01 00:17:00,26,C,0
R020,5,2024-06-01 00:18:00,37,C,0
R021,2,2024-06-01 00:18:00,26,A,0
R022,6,2024-06-01 00:20:00,51,C,0
R023,4,2024-06-01 00:22:00,29,B,0
R024,3,2024-06-01 00:23:00,58,B,1
R025,4,2024-06-01 00:26:00,49,B,0
R026,3,2024-06-01 00:26:00,39,B,0
R027,6,2024-06-01 00:26:00,55,C,0
R028,1,2024-06-01 00:27:00,28,A,0
R029,5,2024-06-01 00:29:00,49,C,0
R030,5,2024-06-01 00:30:00,45,C,0
R031,4,2024-06-01 00:32:00,23,B,0
R032,1,2024-06-01 00:34:00,35,A,0
R033,3,2024-06-01 00:34:00,43,B,0
R034,5,2024-06-01 00:36:00,37,C,0
R035,2,2024-06-01 00:37:00,20,A,0
R036,6,2024-06-01 00:38:00,49,C,0
R037,2,2024-06-01 00:38:00,33,A,0
R038,4,2024-06-01 00:39:00,43,B,0
R039,3,2024-06-01 00:39:00,34,B,0
R040,3,2024-06-01 00:40:00,31,B,0
R041,3,2024-06-01 00:40:00,50,B,0
R042,1,2024-06-01 00:41:00,36,A,0
R043,1,2024-06-01 00:42:00,26,A,0
R044,1,2024-06-01 00:42:00,29,A,0
R045,2,2024-06-01 00:43:00,48,A,0
R046,6,2024-06-01 00:44:00,46,C,0
R047,2,2024-06-01 00:45:00,50,A,0
R048,4,2024-06-01 00:45:00,52,B,0
R049,2,2024-06-01 00:46:00,39,A,0
R050,4,2024-06-01 00:46:00,29,B,0
R051,3,2024-06-01 00:48:00,51,B,0
R052,1,2024-06-01 00:48:00,29,A,0
R053,4,2024-06-01 00:49:00,27,B,0
R054,5,2024-06-01 00:49:00,55,C,0
R055,6,2024-06-01 00:49:00,59,C,0
R056,1,2024-06-01 00:50:00,42,A,0
R057,4,2024-06-01 00:51:00,41,B,0
R058,1,2024-06-01 00:51:00,40,A,0
R059,3,2024-06-01 00:52:00,60,B,0
R060,3,2024-06-01 00:54:00,49,B,0
R061,4,2024-06-01 00:56:00,26,B,1
R062,6,2024-06-01 00:57:00,37,C,0
R063,4,2024-06-01 00:57:00,24,B,0
R064,3,2024-06-01 00:59:00,29,B,0
R065,2,2024-06-01 01:00:00,30,A,0
R066,2,2024-06-01 01:00:00,57,A,0
R067,1,2024-06-01 01:02:00,49,A,0
R068,1,2024-06-01 01:02:00,31,A,0
R069,6,2024-06-01 01:02:00,53,C,0
R070,3,2024-06-01 01:05:00,41,B,0
R071,4,2024-06-01 01:08:00,34,B,0
R072,2,2024-06-01 01:09:00,23,A,0
R073,5,2024-06-01 01:11:00,42,C,0
R074,5,2024-06-01 01:12:00,60,C,0
R075,4,2024-06-01 01:12:00,37,B,0
R076,6,2024-06-01 01:13:00,35,C,0
R077,3,2024-06-01 01:13:00,21,B,0
R078,3,2024-06-01 01:15:00,60,B,1
R079,1,2024-06-01 01:16:00,53,A,0
R080,1,2024-06-01 01:16:00,24,A,0
R081,6,2024-06-01 01:17:00,29,C,0
R082,4,2024-06-01 01:17:00,23,B,0
R083,3,2024-06-01 01:18:00,40,B,0
R084,2,2024-06-01 01:19:00,24,A,0
R085,6,2024-06-01 01:19:00,41,C,0
R086,1,2024-06-01 01:20:00,52,A,0
R087,6,2024-06-01 01:21:00,31,C,0
R088,5,2024-06-01 01:21:00,54,C,0
R089,4,2024-06-01 01:21:00,52,B,0
R090,4,2024-06-01 01:23:00,56,B,0
R091,4,2024-06-01 01:24:00,35,B,0
R092,2,2024-06-01 01:24:00,51,A,0
R093,4,2024-06-01 01:28:00,29,B,1
R094,4,2024-06-01 01:30:00,22,B,0
R095,1,2024-06-01 01:31:00,34,A,0
R096,3,2024-06-01 01:36:00,47,B,0
R097,6,2024-06-01 01:38:00,22,C,0
R098,4,2024-06-01 01:39:00,48,B,0
R099,5,2024-06-01 01:39:00,37,C,0
R100,1,2024-06-01 01:40:00,26,A,0
