group_size,arrival_time,dining_duration,is_vip
2,2024-06-01 00:01:00,56,0
2,2024-06-01 00:01:00,51,1
4,2024-06-01 00:05:00,35,0
6,2024-06-01 00:06:00,26,0
3,2024-06-01 00:07:00,32,1
6,2024-06-01 00:07:00,26,0
5,2024-06-01 00:08:00,53,0
5,2024-06-01 00:10:00,30,1
4,2024-06-01 00:11:00,37,0
3,2024-06-01 00:12:00,45,0
1,2024-06-01 00:14:00,28,0
6,2024-06-01 00:14:00,31,1
5,2024-06-01 00:15:00,59,1
6,2024-06-01 00:15:00,39,0
5,2024-06-01 00:16:00,56,0
3,2024-06-01 00:16:00,54,0
2,2024-06-01 00:17:00,32,0
1,2024-06-01 00:19:00,50,0
2,2024-06-01 00:20:00,36,0
2,2024-06-01 00:21:00,28,1
4,2024-06-01 00:24:00,48,0
3,2024-06-01 00:27:00,22,0
2,2024-06-01 00:27:00,47,0
3,2024-06-01 00:28:00,46,0
4,2024-06-01 00:29:00,41,0
1,2024-06-01 00:29:00,47,0
6,2024-06-01 00:29:00,45,0
2,2024-06-01 00:30:00,35,0
2,2024-06-01 00:30:00,26,1
5,2024-06-01 00:32:00,26,1
6,2024-06-01 00:32:00,40,0
3,2024-06-01 00:33:00,48,0
5,2024-06-01 00:34:00,23,0
4,2024-06-01 00:34:00,47,0
1,2024-06-01 00:34:00,38,0
5,2024-06-01 00:38:00,42,0
1,2024-06-01 00:40:00,43,0
3,2024-06-01 00:41:00,32,0
3,2024-06-01 00:41:00,42,0
3,2024-06-01 00:42:00,43,0
1,2024-06-01 00:42:00,55,0
2,2024-06-01 00:42:00,23,0
3,2024-06-01 00:44:00,36,1
4,2024-06-01 00:44:00,45,0
3,2024-06-01 00:44:00,31,0
5,2024-06-01 00:45:00,32,0
6,2024-06-01 00:45:00,34,0
6,2024-06-01 00:46:00,31,0
2,2024-06-01 00:47:00,53,0
2,2024-06-01 00:48:00,24,0
5,2024-06-01 00:49:00,33,0
1,2024-06-01 00:51:00,49,0
5,2024-06-01 00:51:00,36,0
5,2024-06-01 00:53:00,46,0
4,2024-06-01 00:54:00,26,1
4,2024-06-01 00:54:00,33,0
2,2024-06-01 00:57:00,50,0
6,2024-06-01 00:57:00,52,1
3,2024-06-01 01:00:00,31,0
4,2024-06-01 01:00:00,25,0
2,2024-06-01 01:01:00,26,1
3,2024-06-01 01:02:00,45,0
6,2024-06-01 01:02:00,24,0
3,2024-06-01 01:03:00,23,0
4,2024-06-01 01:03:00,43,0
2,2024-06-01 01:03:00,26,0
3,2024-06-01 01:04:00,50,1
3,2024-06-01 01:04:00,41,0
1,2024-06-01 01:07:00,41,0
4,2024-06-01 01:07:00,54,1
1,2024-06-01 01:07:00,25,0
3,2024-06-01 01:08:00,26,0
2,2024-06-01 01:08:00,59,0
6,2024-06-01 01:09:00,45,0
5,2024-06-01 01:10:00,24,0
1,2024-06-01 01:11:00,33,0
6,2024-06-01 01:11:00,22,0
1,2024-06-01 01:14:00,47,0
6,2024-06-01 01:16:00,55,1
3,2024-06-01 01:17:00,52,0
3,2024-06-01 01:18:00,59,0
2,2024-06-01 01:18:00,50,0
5,2024-06-01 01:22:00,27,0
1,2024-06-01 01:23:00,51,0
6,2024-06-01 01:24:00,24,0
4,2024-06-01 01:24:00,44,0
4,2024-06-01 01:25:00,24,0
1,2024-06-01 01:26:00,21,1
5,2024-06-01 01:26:00,52,0
2,2024-06-01 01:28:00,54,0
5,2024-06-01 01:28:00,35,1
3,2024-06-01 01:29:00,25,0
1,2024-06-01 01:31:00,22,0
5,2024-06-01 01:33:00,23,1
6,2024-06-01 01:33:00,24,0
6,2024-06-01 01:33:00,28,0
1,2024-06-01 01:35:00,44,1
4,2024-06-01 01:38:00,40,0
6,2024-06-01 01:39:00,60,0
6,2024-06-01 01:39:00,57,0
